,PAREN,SEXO,EDAD,P3_7,NIVEL,GRADO,P3_9_1,P3_9_2,P3_9_3,UPM_DIS,EST_DIS,DOMINIO,TLOC,ESTRATO,ENT,code
87,1,1,51,2.0,8.0,5.0,1.0,1.0,1.0,21,7,U,1,3,1,1001712
88,1,1,59,2.0,6.0,3.0,2.0,1.0,1.0,21,7,U,1,3,1,1001713
89,1,2,23,1.0,8.0,4.0,1.0,1.0,1.0,21,7,U,1,3,1,1001714
90,1,2,28,2.0,8.0,4.0,1.0,1.0,1.0,21,7,U,1,3,1,1001714
91,1,1,86,2.0,2.0,6.0,2.0,2.0,2.0,21,7,U,1,3,1,1001715
92,1,1,30,2.0,6.0,3.0,1.0,1.0,1.0,22,6,U,1,2,1,1001751
93,1,2,31,2.0,3.0,3.0,9.0,1.0,1.0,22,6,U,1,2,1,1001752
94,1,1,37,2.0,6.0,3.0,2.0,1.0,1.0,22,6,U,1,2,1,1001753
95,1,2,76,2.0,2.0,6.0,2.0,2.0,2.0,22,6,U,1,2,1,1001754
96,1,2,81,2.0,2.0,1.0,2.0,2.0,1.0,23,7,U,1,3,1,1001801
97,1,1,77,2.0,3.0,3.0,2.0,2.0,2.0,23,7,U,1,3,1,1001802
98,1,1,38,2.0,8.0,4.0,1.0,1.0,1.0,23,7,U,1,3,1,1001802
99,1,1,76,2.0,2.0,6.0,2.0,2.0,2.0,23,7,U,1,3,1,1001803
100,1,2,32,2.0,6.0,1.0,2.0,1.0,1.0,23,7,U,1,3,1,1001803
101,1,2,71,2.0,7.0,3.0,2.0,2.0,1.0,23,7,U,1,3,1,1001804
102,1,1,72,2.0,0.0,0.0,2.0,1.0,1.0,23,7,U,1,3,1,1001805
103,1,1,66,2.0,6.0,2.0,2.0,2.0,2.0,24,7,U,1,3,1,1001831
104,1,1,34,2.0,8.0,2.0,1.0,1.0,1.0,24,7,U,1,3,1,1001832
105,1,1,56,2.0,2.0,3.0,2.0,1.0,1.0,24,7,U,1,3,1,1001833
106,1,1,55,2.0,2.0,6.0,2.0,1.0,1.0,24,7,U,1,3,1,1001834
107,1,1,73,2.0,2.0,6.0,2.0,1.0,1.0,24,7,U,1,3,1,1001835
108,1,2,84,2.0,2.0,6.0,2.0,2.0,2.0,25,7,U,1,3,1,1001861
109,1,2,56,2.0,8.0,5.0,1.0,1.0,1.0,25,7,U,1,3,1,1001862
110,1,2,51,2.0,99.0,9.0,1.0,1.0,1.0,25,7,U,1,3,1,1001863
111,1,1,59,2.0,8.0,5.0,1.0,1.0,1.0,25,7,U,1,3,1,1001864
112,1,1,38,2.0,6.0,3.0,1.0,1.0,1.0,25,7,U,1,3,1,1001865
113,1,1,75,2.0,6.0,3.0,2.0,2.0,2.0,26,7,U,1,3,1,1001911
114,1,2,52,2.0,5.0,3.0,1.0,1.0,1.0,26,7,U,1,3,1,1001912
115,1,1,78,2.0,6.0,2.0,2.0,1.0,1.0,26,7,U,1,3,1,1001915
116,1,1,74,2.0,3.0,3.0,2.0,2.0,2.0,27,7,U,1,3,1,1002091
117,1,1,77,2.0,8.0,5.0,2.0,2.0,2.0,27,7,U,1,3,1,1002092
118,1,1,36,2.0,8.0,5.0,1.0,1.0,1.0,27,7,U,1,3,1,1002094
119,1,2,36,2.0,8.0,5.0,1.0,1.0,1.0,27,7,U,1,3,1,1002095
120,1,1,83,2.0,2.0,6.0,2.0,2.0,1.0,28,7,U,1,3,1,1002151
121,1,2,50,2.0,3.0,3.0,2.0,1.0,1.0,28,7,U,1,3,1,1002152
122,1,2,24,2.0,8.0,5.0,1.0,1.0,1.0,28,7,U,1,3,1,1002153
123,1,2,24,2.0,8.0,5.0,1.0,1.0,1.0,28,7,U,1,3,1,1002153
124,1,1,27,2.0,8.0,5.0,1.0,1.0,1.0,28,7,U,1,3,1,1002153
125,1,1,27,2.0,8.0,5.0,1.0,1.0,1.0,28,7,U,1,3,1,1002153
126,1,1,54,2.0,6.0,3.0,1.0,1.0,1.0,28,7,U,1,3,1,1002154
127,1,2,24,2.0,8.0,5.0,1.0,1.0,1.0,28,7,U,1,3,1,1002155
128,1,2,33,2.0,8.0,5.0,1.0,1.0,1.0,28,7,U,1,3,1,1002155
129,1,2,23,1.0,8.0,5.0,1.0,1.0,1.0,28,7,U,1,3,1,1002155
130,1,1,46,2.0,6.0,3.0,1.0,1.0,1.0,29,7,U,1,3,1,1002411
131,1,1,88,2.0,2.0,6.0,2.0,2.0,1.0,29,7,U,1,3,1,1002412
132,1,2,44,2.0,5.0,3.0,1.0,1.0,1.0,29,7,U,1,3,1,1002413
133,1,1,67,2.0,6.0,3.0,2.0,2.0,1.0,29,7,U,1,3,1,1002414
134,1,2,83,2.0,2.0,5.0,2.0,2.0,2.0,29,7,U,1,3,1,1002415
135,1,2,88,2.0,2.0,6.0,2.0,1.0,1.0,30,7,U,1,3,1,1002581
136,1,1,43,2.0,8.0,5.0,1.0,1.0,1.0,30,7,U,1,3,1,1002583
137,1,1,29,2.0,6.0,3.0,1.0,1.0,1.0,30,7,U,1,3,1,1002584
138,1,1,42,2.0,3.0,3.0,2.0,1.0,1.0,30,7,U,1,3,1,1002585
139,1,2,65,2.0,2.0,6.0,2.0,1.0,1.0,31,7,U,1,3,1,1002711
140,1,1,60,2.0,2.0,6.0,2.0,2.0,1.0,31,7,U,1,3,1,1002712
141,1,1,71,2.0,0.0,0.0,2.0,2.0,2.0,31,7,U,1,3,1,1002713
142,1,2,45,2.0,6.0,2.0,2.0,1.0,1.0,31,7,U,1,3,1,1002714
143,1,1,47,2.0,10.0,3.0,1.0,1.0,1.0,32,7,U,1,3,1,1002931
144,1,2,79,2.0,2.0,6.0,2.0,2.0,1.0,32,7,U,1,3,1,1002932
145,1,2,55,2.0,5.0,3.0,1.0,1.0,1.0,32,7,U,1,3,1,1002933
146,1,1,49,2.0,8.0,2.0,2.0,1.0,1.0,32,7,U,1,3,1,1002934
147,1,1,51,2.0,8.0,5.0,1.0,1.0,1.0,32,7,U,1,3,1,1002935
148,1,1,42,1.0,10.0,3.0,1.0,1.0,1.0,33,8,U,1,4,1,1003011
149,1,1,33,2.0,8.0,3.0,1.0,1.0,1.0,33,8,U,1,4,1,1003012
150,1,1,38,2.0,8.0,5.0,1.0,1.0,1.0,33,8,U,1,4,1,1003013
151,1,2,66,2.0,8.0,5.0,1.0,1.0,1.0,33,8,U,1,4,1,1003014
152,1,1,71,2.0,3.0,3.0,2.0,2.0,2.0,33,8,U,1,4,1,1003015
153,1,2,98,2.0,2.0,6.0,2.0,2.0,2.0,34,7,U,1,3,1,1003321
