,PAREN,SEXO,EDAD,P3_7,NIVEL,GRADO,P3_9_1,P3_9_2,P3_9_3,UPM_DIS,EST_DIS,DOMINIO,TLOC,ESTRATO,ENT,code
50436,4,1,16,1.0,6.0,1.0,1.0,1.0,1.0,2208,75,R,4,2,8,8608833
50437,1,1,73,2.0,2.0,3.0,2.0,2.0,1.0,2208,75,R,4,2,8,8608834
50439,1,2,60,2.0,0.0,0.0,2.0,2.0,2.0,2208,75,R,4,2,8,8608835
50441,3,2,51,2.0,3.0,3.0,2.0,1.0,1.0,2208,75,R,4,2,8,8608836
50443,2,2,55,2.0,5.0,3.0,2.0,1.0,1.0,2208,75,R,4,2,8,8608837
50446,2,2,35,2.0,6.0,1.0,1.0,1.0,1.0,2208,75,R,4,2,8,8608838
50451,1,1,52,2.0,3.0,3.0,2.0,1.0,1.0,2208,75,R,4,2,8,8608839
50454,2,2,68,2.0,8.0,4.0,2.0,1.0,1.0,2208,75,R,4,2,8,86088310
50456,1,1,32,1.0,10.0,2.0,1.0,1.0,1.0,2208,75,R,4,2,8,86088311
50460,1,1,60,2.0,3.0,3.0,2.0,1.0,1.0,2208,75,R,4,2,8,86088312
50462,1,1,47,2.0,3.0,3.0,2.0,1.0,1.0,2208,75,R,4,2,8,86088313
50465,3,2,16,1.0,6.0,2.0,1.0,1.0,1.0,2208,75,R,4,2,8,86088314
50468,1,1,34,2.0,2.0,6.0,2.0,1.0,1.0,2208,75,R,4,2,8,86088315
50471,2,1,41,2.0,3.0,3.0,2.0,1.0,1.0,2208,75,R,4,2,8,86088316
50473,1,1,32,2.0,6.0,3.0,2.0,1.0,1.0,2208,75,R,4,2,8,86088317
50478,1,1,43,2.0,3.0,3.0,2.0,2.0,1.0,2208,75,R,4,2,8,86088318
50482,1,1,38,2.0,3.0,3.0,2.0,1.0,1.0,2208,75,R,4,2,8,86088319
50488,3,2,22,2.0,6.0,3.0,1.0,1.0,1.0,2208,75,R,4,2,8,86088320
50492,1,1,64,2.0,2.0,4.0,2.0,2.0,1.0,2209,75,R,4,2,8,8609321
50495,4,1,16,1.0,6.0,2.0,1.0,1.0,1.0,2209,75,R,4,2,8,8609322
50502,4,2,19,2.0,6.0,3.0,2.0,2.0,1.0,2209,75,R,4,2,8,8609323
50504,1,1,77,2.0,2.0,3.0,2.0,2.0,2.0,2209,75,R,4,2,8,8609324
50506,1,2,63,2.0,2.0,3.0,2.0,1.0,1.0,2209,75,R,4,2,8,8609325
50509,3,1,18,2.0,6.0,3.0,2.0,2.0,1.0,2209,75,R,4,2,8,8609326
50510,1,2,35,2.0,6.0,3.0,1.0,1.0,1.0,2209,75,R,4,2,8,8609327
50513,1,1,26,2.0,3.0,3.0,2.0,2.0,1.0,2209,75,R,4,2,8,8609328
50517,1,1,55,2.0,2.0,6.0,2.0,2.0,1.0,2209,75,R,4,2,8,8609329
50521,1,1,55,2.0,6.0,3.0,2.0,1.0,1.0,2209,75,R,4,2,8,86093212
50525,3,1,20,2.0,6.0,3.0,1.0,1.0,1.0,2209,75,R,4,2,8,86093213
50526,1,2,92,2.0,2.0,6.0,2.0,2.0,2.0,2209,75,R,4,2,8,86093214
50527,1,1,47,2.0,3.0,3.0,2.0,1.0,1.0,2209,75,R,4,2,8,86093215
50529,1,2,67,2.0,2.0,5.0,2.0,2.0,1.0,2209,75,R,4,2,8,86093216
50534,4,1,14,1.0,3.0,2.0,2.0,2.0,1.0,2209,75,R,4,2,8,86093217
50536,2,2,74,2.0,5.0,3.0,2.0,2.0,1.0,2209,75,R,4,2,8,86093218
50537,1,1,42,2.0,8.0,4.0,2.0,1.0,1.0,2209,75,R,4,2,8,86093219
50541,1,1,74,2.0,2.0,4.0,2.0,2.0,1.0,2209,75,R,4,2,8,86093220
50545,3,1,33,2.0,8.0,2.0,1.0,1.0,1.0,2210,81,U,1,3,9,9000061
50549,3,1,34,2.0,8.0,4.0,1.0,1.0,1.0,2210,81,U,1,3,9,9000062
50552,1,2,70,2.0,2.0,1.0,2.0,2.0,1.0,2210,81,U,1,3,9,9000063
50555,3,1,45,2.0,8.0,5.0,1.0,1.0,1.0,2210,81,U,1,3,9,9000064
50557,1,1,43,2.0,6.0,3.0,2.0,1.0,1.0,2210,81,U,1,3,9,9000065
50560,1,1,60,2.0,3.0,3.0,2.0,1.0,1.0,2211,81,U,1,3,9,9001261
50565,3,2,44,2.0,9.0,1.0,1.0,1.0,1.0,2211,81,U,1,3,9,9001262
50569,4,1,14,1.0,3.0,3.0,1.0,1.0,1.0,2211,81,U,1,3,9,9001263
50573,3,1,40,2.0,8.0,4.0,1.0,1.0,1.0,2211,81,U,1,3,9,9001264
50575,4,1,28,2.0,8.0,4.0,1.0,1.0,1.0,2211,81,U,1,3,9,9001265
50584,3,2,32,2.0,6.0,3.0,2.0,1.0,1.0,2212,81,U,1,3,9,9001981
50588,3,1,27,2.0,8.0,4.0,1.0,1.0,1.0,2212,81,U,1,3,9,9001982
50590,1,1,51,2.0,8.0,5.0,1.0,1.0,1.0,2212,81,U,1,3,9,9001983
50592,1,1,48,2.0,6.0,3.0,2.0,1.0,1.0,2212,81,U,1,3,9,9001984
50593,1,2,20,2.0,8.0,2.0,2.0,2.0,2.0,2212,81,U,1,3,9,9001985
50594,1,2,56,2.0,6.0,3.0,1.0,1.0,1.0,2213,80,U,1,2,9,9002021
50595,1,1,41,2.0,8.0,1.0,2.0,1.0,1.0,2213,80,U,1,2,9,9002022
50599,3,2,48,2.0,6.0,3.0,1.0,1.0,1.0,2213,80,U,1,2,9,9002023
50605,1,1,79,2.0,6.0,3.0,2.0,1.0,1.0,2213,80,U,1,2,9,9002024
50610,1,1,74,2.0,3.0,2.0,2.0,2.0,2.0,2213,80,U,1,2,9,9002025
50612,5,2,26,2.0,11.0,2.0,1.0,1.0,1.0,2214,81,U,1,3,9,9002601
50613,1,1,45,2.0,6.0,3.0,1.0,1.0,1.0,2214,81,U,1,3,9,9002602
50616,1,1,58,2.0,8.0,5.0,1.0,1.0,1.0,2214,81,U,1,3,9,9002603
50618,1,1,52,2.0,8.0,4.0,1.0,1.0,1.0,2214,81,U,1,3,9,9002604
50623,1,1,27,2.0,7.0,3.0,1.0,1.0,1.0,2214,81,U,1,3,9,9002605
50628,3,2,53,2.0,8.0,5.0,1.0,1.0,1.0,2215,81,U,1,3,9,9002711
50629,1,1,48,2.0,6.0,3.0,2.0,1.0,1.0,2215,81,U,1,3,9,9002713
50635,1,1,39,2.0,7.0,3.0,2.0,1.0,1.0,2215,81,U,1,3,9,9002714
50640,3,1,31,2.0,7.0,4.0,1.0,1.0,1.0,2215,81,U,1,3,9,9002715
50642,3,1,37,2.0,11.0,2.0,1.0,1.0,1.0,2216,81,U,1,3,9,9003261
50644,3,1,29,2.0,3.0,3.0,2.0,1.0,1.0,2216,81,U,1,3,9,9003262
50650,4,1,18,1.0,6.0,2.0,1.0,1.0,1.0,2216,81,U,1,3,9,9003263
50653,3,2,27,1.0,8.0,3.0,1.0,1.0,1.0,2216,81,U,1,3,9,9003264
50654,1,1,71,2.0,3.0,3.0,2.0,2.0,1.0,2216,81,U,1,3,9,9003265
50656,3,2,35,2.0,7.0,4.0,1.0,1.0,1.0,2217,81,U,1,3,9,9003991
50659,1,2,47,2.0,8.0,4.0,1.0,1.0,1.0,2217,81,U,1,3,9,9003992
50662,3,1,27,2.0,8.0,4.0,1.0,1.0,1.0,2217,81,U,1,3,9,9003993
50665,1,1,36,2.0,8.0,4.0,1.0,1.0,1.0,2217,81,U,1,3,9,9003994
50671,1,1,86,2.0,6.0,3.0,1.0,1.0,1.0,2217,81,U,1,3,9,9003995
50673,1,1,79,2.0,2.0,6.0,2.0,2.0,2.0,2218,80,U,1,2,9,9004011
50675,1,1,47,2.0,6.0,3.0,1.0,1.0,1.0,2218,80,U,1,2,9,9004012
50679,1,1,48,2.0,6.0,3.0,1.0,1.0,1.0,2218,80,U,1,2,9,9004013
50686,2,2,44,2.0,10.0,2.0,1.0,1.0,1.0,2218,80,U,1,2,9,9004014
50689,1,1,73,2.0,8.0,4.0,1.0,1.0,1.0,2218,80,U,1,2,9,9004015
50693,3,1,46,2.0,3.0,3.0,2.0,1.0,1.0,2219,81,U,1,3,9,9004481
50694,1,1,53,2.0,8.0,5.0,1.0,1.0,1.0,2219,81,U,1,3,9,9004482
50701,4,2,17,1.0,6.0,2.0,1.0,1.0,1.0,2219,81,U,1,3,9,9004483
50702,1,1,77,2.0,3.0,3.0,2.0,1.0,1.0,2219,81,U,1,3,9,9004484
50703,1,1,29,2.0,6.0,3.0,1.0,1.0,1.0,2219,81,U,1,3,9,9004485
50706,3,2,30,2.0,7.0,3.0,1.0,1.0,1.0,2220,80,U,1,2,9,9005321
50710,3,2,47,2.0,3.0,3.0,2.0,1.0,1.0,2220,80,U,1,2,9,9005322
50712,3,2,31,2.0,8.0,5.0,1.0,1.0,1.0,2220,80,U,1,2,9,9005323
50716,1,2,41,2.0,5.0,3.0,1.0,1.0,1.0,2220,80,U,1,2,9,9005324
50720,3,2,19,2.0,6.0,3.0,2.0,1.0,1.0,2220,80,U,1,2,9,9005325
50728,2,2,47,2.0,6.0,3.0,1.0,1.0,1.0,2221,80,U,1,2,9,9005541
50735,4,1,13,1.0,3.0,1.0,2.0,1.0,1.0,2221,80,U,1,2,9,9005542
50739,3,1,57,2.0,8.0,4.0,1.0,1.0,1.0,2221,80,U,1,2,9,9005543
50746,5,1,55,2.0,8.0,1.0,2.0,1.0,1.0,2221,80,U,1,2,9,9005544
50749,1,1,40,2.0,6.0,1.0,2.0,1.0,1.0,2222,80,U,1,2,9,9005821
50753,1,2,43,2.0,3.0,3.0,2.0,1.0,1.0,2222,80,U,1,2,9,9005822
50754,1,2,32,2.0,2.0,6.0,2.0,2.0,1.0,2222,80,U,1,2,9,9005823
50755,1,1,50,2.0,6.0,1.0,1.0,1.0,1.0,2222,80,U,1,2,9,9005824
50758,3,2,50,2.0,3.0,3.0,2.0,1.0,1.0,2222,80,U,1,2,9,9005825
50760,1,1,56,2.0,10.0,2.0,1.0,1.0,1.0,2223,81,U,1,3,9,9006601
50767,2,2,43,2.0,6.0,3.0,1.0,1.0,1.0,2223,81,U,1,3,9,9006602
50772,1,2,62,2.0,9.0,2.0,1.0,1.0,1.0,2223,81,U,1,3,9,9006603
50777,3,2,38,2.0,6.0,3.0,1.0,1.0,1.0,2223,81,U,1,3,9,9006604
50778,1,1,42,2.0,8.0,5.0,1.0,1.0,1.0,2223,81,U,1,3,9,9006605
50782,1,1,36,2.0,6.0,3.0,1.0,1.0,1.0,2224,81,U,1,3,9,9006741
50787,2,2,27,2.0,6.0,3.0,1.0,1.0,1.0,2224,81,U,1,3,9,9006742
50789,1,2,73,2.0,8.0,4.0,2.0,1.0,1.0,2224,81,U,1,3,9,9006743
50792,1,1,26,2.0,8.0,4.0,1.0,1.0,1.0,2224,81,U,1,3,9,9006744
50794,1,1,58,2.0,6.0,3.0,2.0,2.0,1.0,2225,81,U,1,3,9,9007451
50797,3,1,25,1.0,8.0,3.0,1.0,1.0,1.0,2225,81,U,1,3,9,9007452
50803,3,1,26,2.0,7.0,4.0,1.0,1.0,1.0,2225,81,U,1,3,9,9007453
50805,1,2,65,2.0,3.0,3.0,2.0,1.0,1.0,2225,81,U,1,3,9,9007455
