,P1_1,P1_2,P1_3,P1_4,P1_5_1,P1_5_2,P1_5_3,P2_1,P2_2,ENT,code,HOGAR,P4_1_1,P4_1_2,P4_1_3,P4_1_4,P4_1_5,P4_1_6,P4_2_1,P4_2_2,P4_4
32345,3,1,1,1,2,1,2,3,1,18,18013442,1,2,2,2,2,2,1,2,2,2
32346,2,1,1,1,1,2,2,3,1,18,18013443,1,2,2,2,1,2,1,2,2,1
32347,3,1,1,1,1,1,2,4,1,18,18013444,1,2,2,2,1,2,1,1,1,1
32348,3,1,1,1,1,1,1,3,1,18,18013445,1,2,2,2,1,2,1,1,1,1
32349,3,1,1,1,1,1,1,1,1,18,18013446,1,2,2,2,1,2,1,2,2,1
32350,2,1,1,1,1,2,2,1,1,18,18013447,1,2,1,2,1,2,1,2,2,1
32351,3,1,1,1,1,1,1,4,1,18,18013448,1,1,2,2,1,2,1,2,2,1
32352,3,1,1,1,1,1,2,1,1,18,18013449,1,2,2,2,2,2,1,2,1,1
32353,3,1,1,1,1,1,1,4,1,18,180134410,1,2,2,2,1,2,1,2,1,1
32354,3,1,1,1,1,1,1,5,1,18,180134411,1,1,1,2,1,2,1,1,1,1
32355,2,1,1,1,1,1,1,5,1,18,180134413,1,2,2,2,1,2,1,2,2,1
32356,3,1,1,1,1,1,1,5,1,18,180134414,1,1,2,2,1,2,1,2,1,1
32357,2,1,1,1,1,1,2,4,1,18,180134415,1,1,2,2,1,2,1,1,2,1
32358,2,1,1,1,2,2,2,3,1,18,180134416,1,2,2,2,2,2,1,2,2,2
32359,3,1,1,1,1,1,2,5,1,18,180134417,1,1,1,2,1,2,1,2,2,1
32360,3,1,1,1,1,2,1,6,1,18,180134418,1,1,2,2,1,2,1,2,2,1
32361,3,1,1,1,1,1,2,1,1,18,180134419,1,1,2,2,1,2,1,2,2,1
32362,2,1,2,1,1,1,2,4,1,18,180134420,1,1,2,2,1,2,1,2,2,2
32363,2,1,1,1,1,1,2,4,1,18,18013451,1,1,2,2,1,2,1,2,2,1
32364,3,1,1,1,1,2,1,3,1,18,18013452,1,2,2,2,2,2,1,2,2,1
32365,2,1,1,1,1,1,2,4,1,18,18013453,1,2,1,2,2,2,1,2,2,2
32366,3,1,1,1,1,1,1,2,1,18,18013454,1,1,2,2,1,2,1,1,2,1
32367,3,1,1,1,1,1,2,1,1,18,18013455,1,1,2,2,1,2,1,2,2,2
32368,3,1,1,1,1,1,2,1,1,18,18013456,1,2,2,2,1,2,1,2,2,1
32369,3,1,1,1,1,1,2,5,1,18,18013457,1,1,2,2,1,2,1,2,1,1
32370,3,1,1,1,1,1,1,2,1,18,18013458,1,2,2,2,1,2,2,2,2,2
32371,3,1,1,1,1,2,2,2,1,18,18013459,1,1,1,1,1,2,1,1,2,1
32372,3,1,1,1,1,1,1,3,1,18,180134510,1,1,2,2,1,2,1,2,1,1
32373,3,1,1,1,1,1,2,4,1,18,180134511,1,2,2,2,1,2,1,2,2,1
32374,2,1,1,1,1,1,2,2,1,18,180134512,1,1,2,2,1,2,1,2,2,1
32375,3,1,1,1,1,1,2,2,1,18,180134513,1,1,2,2,1,2,1,2,2,2
32376,2,1,1,1,1,1,2,3,1,18,180134514,1,2,1,2,2,2,2,2,2,2
32377,3,1,1,1,1,1,1,3,1,18,180134515,1,2,2,2,1,1,1,1,1,1
32378,3,1,1,1,1,1,1,3,1,18,180134516,1,2,2,2,1,2,1,2,2,1
32379,3,1,1,1,1,1,2,11,1,18,180134517,1,2,2,2,1,2,1,2,2,1
32380,2,1,1,1,1,1,2,2,1,18,180134518,1,1,2,2,1,2,1,2,2,2
32381,3,1,1,1,1,1,1,4,1,18,180134519,1,1,1,2,2,1,1,2,2,1
32382,3,1,1,1,1,1,1,2,1,18,180134520,1,1,2,2,1,2,1,2,1,1
